video_id,title,channel,publish_date,category_id,tags,duration,views,likes,comments
uMY9hm0Z_s4,Lil Baby & G-Herbo - All On Me,Lil Baby Official ,2025-10-23T20:00:50Z,24,[],PT3M49S,131408,26120,2226
bWaCRes4uBQ,Pokémon TCG Pocket: Mega Rising Expansion! | Official Trailer,The Official Pokémon YouTube channel,2025-10-23T13:02:12Z,20,[],PT1M1S,182692,7787,786
xi1RrD9s_VM,999+ Side Missions | Ghost of Yotei [3],CoryxKenshin,2025-10-22T23:41:24Z,20,"['ghost of yotei', 'ghost', 'of', 'yotei', 'playthrough', 'walkthrough', 'game', 'gameplay', 'part', 'kitsune', '999', 'side', 'missions', 'hana', 'atsu', 'ac', 'coryxkenshin', 'cory', 'kenshin', 'funny', 'hilarious', 'moments', 'edits', 'reaction']",PT1H29M23S,1362135,123016,10017
GKf-pS_jJ0g,HoneyKomb Brazy - Back On It (Official Music Video) Shot By The Director Frazier,Honeykomb Brazy,2025-10-23T05:01:04Z,10,[],PT3M20S,199271,19290,2477
qAM7iP-WOpA,'Spearhead' Update Trailer / War Thunder,War Thunder. Official channel.,2025-10-23T19:12:35Z,20,"['war thunder', 'wt', 'war thunder update', 'war thunder trailer', 'trailer', 'update']",PT2M33S,107401,13185,1615
-IZm-Hws334,Fallout Day Broadcast 2025,Bethesda Softworks,2025-10-23T16:45:11Z,20,"['Bethesda Softworks', 'Fallout']",PT48M53S,303646,10524,4725
Qhs3rY80HNE,Selena Gomez - In The Dark (Official Music Video),SelenaGomezVEVO,2025-10-23T04:00:35Z,10,"['Selena Gomez', 'SMG Music LLC', 'under exclusive license to Interscope Records.', 'Pop']",PT3M4S,1084673,142153,12549
a6lzvWby9UE,Pluribus — Official Trailer | Apple TV,Apple TV,2025-10-22T13:59:51Z,24,"['pluribus', 'trailer', 'trailers', 'pluribus trailer', 'trailer pluribus', 'official trailer', 'pluribus official trailer', 'official trailer pluribus', 'vince gilligan', 'vince gilligan apple tv', 'apple tv vince gilligan', 'breaking bad', 'breaking bad vince gilligan', 'rhea seehorn', 'rhea seehorn apple tv', 'better call saul', 'diane mercer', 'jenn carroll', 'series', 'show', 'pluribus apple tv', 'apple tv pluribus', 'apple tv', 'apple', 'tv', 'apple tv+', 'apple tv series', 'apple tv app', 'apple original', 'science fiction', 'scifi']",PT2M3S,1972765,24058,1497
_ZHYjYHHiBM,Kirby Air Riders Direct #2 10.23.2025,Nintendo of America,2025-10-23T14:10:03Z,20,"['nintendo', 'game', 'gameplay', 'fun', 'video game', 'action', 'adventure', 'rpg', 'play', 'switch', 'nintendo switch']",PT1H2M21S,549028,29509,3232
4xq5QzNG-m8,BAD OMENS - Dying To Love (Official Music Video),SUMERIAN,2025-10-22T17:30:03Z,10,"['sumerian', 'Sumerian records', 'music', 'song', 'track', 'tour', 'rock', 'metal']",PT4M33S,743948,67962,3033
